date,price
106/01/03,183
106/01/04,183
106/01/05,183.5
106/01/06,184
106/01/09,184
106/01/10,184
106/01/11,182
106/01/12,184.5
106/01/13,181.5
106/01/16,179.5
106/01/17,181
106/01/18,181
106/01/19,180.5
106/01/20,181
106/01/23,185
106/01/24,185.5
106/02/02,184.5
106/02/03,184.5
106/02/06,184.5
106/02/07,184.5
106/02/08,183.5
106/02/09,184
106/02/10,185.5
106/02/13,187.5
106/02/14,187.5
106/02/15,189
106/02/16,189
106/02/17,189.5
106/02/18,189.5
106/02/20,190
106/02/21,190
106/02/22,188.5
106/02/23,188.5
106/02/24,189
106/03/01,186
106/03/02,186
106/03/03,184
106/03/06,183.5
106/03/07,185.5
106/03/08,187
106/03/09,184.5
106/03/10,183.5
106/03/13,186.5
106/03/14,186
106/03/15,186.5
106/03/16,190
106/03/17,191.5
106/03/20,191.5
106/03/21,195
106/03/22,193.5
106/03/23,193.5
106/03/24,192.5
106/03/27,193
106/03/28,194.5
106/03/29,191.5
106/03/30,191.5
106/03/31,189
106/04/05,193
106/04/06,191.5
106/04/07,191
106/04/10,190
106/04/11,191
106/04/12,191
106/04/13,191.5
106/04/14,189
106/04/17,187.5
106/04/18,188
106/04/19,186.5
106/04/20,187
106/04/21,190
106/04/24,190
106/04/25,192
106/04/26,191
106/04/27,193
106/04/28,194.5
106/05/02,196.5
106/05/03,198
106/05/04,198
106/05/05,197.5
106/05/08,202.5
106/05/09,203.5
106/05/10,205.5
106/05/11,207.5
106/05/12,206
106/05/15,206
106/05/16,204.5
106/05/17,204
106/05/18,203.5
106/05/19,203
106/05/22,205
106/05/23,205
106/05/24,205.5
106/05/25,207
106/05/26,207
106/05/31,203
106/06/01,207
106/06/02,209
106/06/03,209
106/06/05,212
106/06/06,210.5
106/06/07,211.5
106/06/08,213
106/06/09,212
106/06/12,207.5
106/06/13,208
106/06/14,207
106/06/15,208
106/06/16,211.5
106/06/19,213
106/06/20,216.5
106/06/21,215.5
106/06/22,218
106/06/23,217
106/06/26,215
106/06/27,211.5
106/06/28,208.5
106/06/29,210
106/06/30,208.5
106/07/03,209
106/07/04,207
106/07/05,208.5
106/07/06,207.5
106/07/07,206
106/07/10,206
106/07/11,212
106/07/12,210.5
106/07/13,214.5
106/07/14,213
106/07/17,213
106/07/18,214
106/07/19,214.5
106/07/20,215.5
106/07/21,214
106/07/24,214.5
106/07/25,214
106/07/26,213
106/07/27,215.5
106/07/28,213
106/07/31,214.5
106/08/01,212
106/08/02,216
106/08/03,213.5
106/08/04,213
106/08/07,216
106/08/08,217.5
106/08/09,214.5
106/08/10,214
106/08/11,212.5
106/08/14,211
106/08/15,214
106/08/16,213
106/08/17,214
106/08/18,212.5
106/08/21,211.5
106/08/22,214.5
106/08/23,215.5
106/08/24,217
106/08/25,217.5
106/08/28,216
106/08/29,216
106/08/30,217.5
106/08/31,216.5
106/09/01,216.5
106/09/04,217.5
106/09/05,218
106/09/06,217
106/09/07,217
106/09/08,218
106/09/11,217
106/09/12,219
106/09/13,218
106/09/14,218.5
106/09/15,218.5
106/09/18,219.5
106/09/19,221.5
106/09/20,221.5
106/09/21,221
106/09/22,218.5
106/09/25,217
106/09/26,214
106/09/27,215
106/09/28,214
106/09/29,216.5
106/09/30,216.5
106/10/02,220.5
106/10/03,222.5
106/10/05,224.5
106/10/06,224.5
106/10/11,233
106/10/12,237.5
106/10/13,237.5
106/10/16,238
106/10/17,235.5
106/10/18,237.5
106/10/19,239
106/10/20,237.5
106/10/23,239
106/10/24,238
106/10/25,238
106/10/26,236
106/10/27,239
106/10/30,243
106/10/31,243
106/11/01,242.5
106/11/02,241
106/11/03,239
106/11/06,239.5
106/11/07,244
106/11/08,242.5
106/11/09,241
106/11/10,240.5
106/11/13,239.5
106/11/14,240
106/11/15,237.5
106/11/16,238
106/11/17,241.5
106/11/20,238.5
106/11/21,243
106/11/22,242
106/11/23,242.5
106/11/24,244
106/11/27,237
106/11/28,234
106/11/29,234.5
106/11/30,226
106/12/01,231
106/12/04,234
106/12/05,229.5
106/12/06,227
106/12/07,226.5
106/12/08,227
106/12/11,227.5
106/12/12,227.5
106/12/13,227
106/12/14,230.5
106/12/15,230
106/12/18,227
106/12/19,225
106/12/20,224.5
106/12/21,225
106/12/22,227.5

